Date : 2024-01-14 12:24:51
Directory : c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System
Total : 423 files,  17805 codes, 6785 comments, 3337 blanks, all 27927 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\redis.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\role.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\search.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\server.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\shopping.svg                                                          | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\size.svg                                                              | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\skill.svg                                                             | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\source.svg                                                            | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\sqlMonitor.svg                                                        | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\swagger.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\sys-tools.svg                                                         | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\system.svg                                                            | XML             |          1 |          0 |          1 |          2 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\system1.svg                                                           | XML             |          1 |          0 |          0 |          1 |
| c:\Users\jie\Desktop\Fruit_Tree_Diseases_and_Pests_Expert_System\Expert_System_web\src\assets\icons\svg\tab.svg                                                               | XML             |          1 |          0 |          0 |          1 |
